"sample_unique"	"Accession_dorado"	"Accession_rerio"	"MDRO_dorado"	"MDRO_rerio"	"Accession_short"	"Accession_PRJNA903550"	"Accession_PRJNA1076808"	"SRR_dorado"	"SRR_rerio"	"SRR_short"	"empty"
"RIVM_C047430"	"SAMN39949315"	"SAMN39949671"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950424"	""	"SAMN39950424"	"SRR27972715"	"SRR27972537"	"SRR27977351"	""
"RIVM_C048187"	"SAMN39949316"	"SAMN39949672"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950425"	""	"SAMN39950425"	"SRR27972714"	"SRR27972536"	"SRR27977350"	""
"RIVM_C048193"	"SAMN39949317"	"SAMN39949673"	"Proteus mirabilis"	"Proteus mirabilis"	"SAMN38223551"	"SAMN38223551"	""	"SRR27972423"	"SRR27972895"	"SRR26803429"	""
"RIVM_C048206"	"SAMN39949318"	"SAMN39949674"	"Escherichia coli"	"Escherichia coli"	"SAMN39950426"	""	"SAMN39950426"	"SRR27972924"	"SRR27972894"	"SRR27977124"	""
"RIVM_C048208"	"SAMN39949319"	"SAMN39949675"	"Escherichia coli"	"Escherichia coli"	"SAMN39950427"	""	"SAMN39950427"	"SRR27972525"	"SRR27972892"	"SRR27977048"	""
"RIVM_C048214"	"SAMN39949320"	"SAMN39949676"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN38223554"	"SAMN38223554"	""	"SRR27972486"	"SRR27972891"	"SRR26803426"	""
"RIVM_C048217"	"SAMN39949321"	"SAMN39949677"	"Escherichia coli"	"Escherichia coli"	"SAMN39950428"	""	"SAMN39950428"	"SRR27973015"	"SRR27972890"	"SRR27977225"	""
"RIVM_C048218"	"SAMN39949322"	"SAMN39949678"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950429"	""	"SAMN39950429"	"SRR27972732"	"SRR27972889"	"SRR27977214"	""
"RIVM_C048221"	"SAMN39949323"	"SAMN39949679"	"Escherichia coli"	"Escherichia coli"	"SAMN39950430"	""	"SAMN39950430"	"SRR27972953"	"SRR27972888"	"SRR27977203"	""
"RIVM_C048222"	"SAMN39949324"	"SAMN39949680"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950431"	""	"SAMN39950431"	"SRR27972942"	"SRR27972887"	"SRR27977192"	""
"RIVM_C048232"	"SAMN39949325"	"SAMN39949681"	"Enterobacter cloacae"	"Enterobacter cloacae"	"SAMN39950432"	""	"SAMN39950432"	"SRR27972713"	"SRR27972886"	"SRR27977181"	""
"RIVM_C048637"	"SAMN39949326"	"SAMN39949682"	"Acinetobacter baumannii"	"Acinetobacter baumannii"	"SAMN39950433"	""	"SAMN39950433"	"SRR27972702"	"SRR27972885"	"SRR27977170"	""
